"text","player"
"  I thought the King had more affected the Duke","KENT"
"of Albany than Cornwall.","KENT"
"  It did always seem so to us, but now in","GLOUCESTER"
"the division of the kingdom, it appears not which","GLOUCESTER"
"of the dukes he values most, for equalities are so","GLOUCESTER"
"weighed that curiosity in neither can make choice","GLOUCESTER"
"of either's moiety.","GLOUCESTER"
"  Is not this your son, my lord?","KENT"
"  His breeding, sir, hath been at my","GLOUCESTER"
"charge. I have so often blushed to acknowledge","GLOUCESTER"
"him that now I am brazed to 't.","GLOUCESTER"
"  I cannot conceive you.","KENT"
"  Sir, this young fellow's mother could,","GLOUCESTER"
"whereupon she grew round-wombed and had indeed,","GLOUCESTER"
"sir, a son for her cradle ere she had a husband","GLOUCESTER"
"for her bed. Do you smell a fault?","GLOUCESTER"
"  I cannot wish the fault undone, the issue of it","KENT"
"being so proper.","KENT"
"  But I have a son, sir, by order of law,","GLOUCESTER"
"some year elder than this, who yet is no dearer in","GLOUCESTER"
"my account. Though this knave came something","GLOUCESTER"
"saucily to the world before he was sent for, yet was","GLOUCESTER"
"his mother fair, there was good sport at his making,","GLOUCESTER"
"and the whoreson must be acknowledged.--Do you","GLOUCESTER"
"know this noble gentleman, Edmund?","GLOUCESTER"
"  No, my lord.","EDMUND"
"  My lord of Kent. Remember him hereafter","GLOUCESTER"
"as my honorable friend.","GLOUCESTER"
"  My services to your Lordship.","EDMUND"
"  I must love you and sue to know you better.","KENT"
"  Sir, I shall study deserving.","EDMUND"
"  He hath been out nine years, and away he","GLOUCESTER"
"shall again.  The King is coming.","GLOUCESTER"
"Attend the lords of France and Burgundy,","LEAR"
"Gloucester.","LEAR"
"  I shall, my lord.	","GLOUCESTER"
"Meantime we shall express our darker purpose.--","LEAR"
"Give me the map there.	","LEAR"
"Know that we have divided","LEAR"
"In three our kingdom, and 'tis our fast intent","LEAR"
"To shake all cares and business from our age,","LEAR"
"Conferring them on younger strengths, while we","LEAR"
"Unburdened crawl toward death. Our son of","LEAR"
"Cornwall","LEAR"
"And you, our no less loving son of Albany,","LEAR"
"We have this hour a constant will to publish","LEAR"
"Our daughters' several dowers, that future strife","LEAR"
"May be prevented now.","LEAR"
"The two great princes, France and Burgundy,","LEAR"
"Great rivals in our youngest daughter's love,","LEAR"
"Long in our court have made their amorous sojourn","LEAR"
"And here are to be answered. Tell me, my","LEAR"
"daughters--","LEAR"
"Since now we will divest us both of rule,","LEAR"
"Interest of territory, cares of state--","LEAR"
"Which of you shall we say doth love us most,","LEAR"
"That we our largest bounty may extend","LEAR"
"Where nature doth with merit challenge. Goneril,","LEAR"
"Our eldest born, speak first.","LEAR"
"Sir, I love you more than word can wield the","GONERIL"
"matter,","GONERIL"
"Dearer than eyesight, space, and liberty,","GONERIL"
"Beyond what can be valued, rich or rare,","GONERIL"
"No less than life, with grace, health, beauty, honor;","GONERIL"
"As much as child e'er loved, or father found;","GONERIL"
"A love that makes breath poor, and speech unable.","GONERIL"
"Beyond all manner of so much I love you.","GONERIL"
", ","CORDELIA"
"What shall Cordelia speak? Love, and be silent.","CORDELIA"
", ","LEAR"
"Of all these bounds, even from this line to this,","LEAR"
"With shadowy forests and with champains riched,","LEAR"
"With plenteous rivers and wide-skirted meads,","LEAR"
"We make thee lady. To thine and Albany's issue","LEAR"
"Be this perpetual.--What says our second","LEAR"
"daughter,","LEAR"
"Our dearest Regan, wife of Cornwall? Speak.","LEAR"
"I am made of that self mettle as my sister","REGAN"
"And prize me at her worth. In my true heart","REGAN"
"I find she names my very deed of love;","REGAN"
"Only she comes too short, that I profess","REGAN"
"Myself an enemy to all other joys","REGAN"
"Which the most precious square of sense","REGAN"
"possesses,","REGAN"
"And find I am alone felicitate","REGAN"
"In your dear Highness' love.","REGAN"
",   Then poor Cordelia!","CORDELIA"
"And yet not so, since I am sure my love's","CORDELIA"
"More ponderous than my tongue.","CORDELIA"
"To thee and thine hereditary ever","LEAR"
"Remain this ample third of our fair kingdom,","LEAR"
"No less in space, validity, and pleasure","LEAR"
"Than that conferred on Goneril.--Now, our joy,","LEAR"
"Although our last and least, to whose young love","LEAR"
"The vines of France and milk of Burgundy","LEAR"
"Strive to be interessed, what can you say to draw","LEAR"
"A third more opulent than your sisters'? Speak.","LEAR"
"  Nothing, my lord.","CORDELIA"
"  Nothing?","LEAR"
"  Nothing.","CORDELIA"
"Nothing will come of nothing. Speak again.","LEAR"
"Unhappy that I am, I cannot heave","CORDELIA"
"My heart into my mouth. I love your Majesty","CORDELIA"
"According to my bond, no more nor less.","CORDELIA"
"How, how, Cordelia? Mend your speech a little,","LEAR"
"Lest you may mar your fortunes.","LEAR"
"  Good my lord,","CORDELIA"
"You have begot me, bred me, loved me.","CORDELIA"
"I return those duties back as are right fit:","CORDELIA"
"Obey you, love you, and most honor you.","CORDELIA"
"Why have my sisters husbands if they say","CORDELIA"
"They love you all? Haply, when I shall wed,","CORDELIA"
"That lord whose hand must take my plight shall","CORDELIA"
"carry","CORDELIA"
"Half my love with him, half my care and duty.","CORDELIA"
"Sure I shall never marry like my sisters,","CORDELIA"
"To love my father all.","CORDELIA"
"  But goes thy heart with this?","LEAR"
"  Ay, my good lord.","CORDELIA"
"  So young and so untender?","LEAR"
"  So young, my lord, and true.","CORDELIA"
"Let it be so. Thy truth, then, be thy dower,","LEAR"
"For by the sacred radiance of the sun,","LEAR"
"The mysteries of Hecate and the night,","LEAR"
"By all the operation of the orbs","LEAR"
"From whom we do exist and cease to be,","LEAR"
"Here I disclaim all my paternal care,","LEAR"
"Propinquity, and property of blood,","LEAR"
"And as a stranger to my heart and me","LEAR"
"Hold thee from this forever. The barbarous","LEAR"
"Scythian,","LEAR"
"Or he that makes his generation messes","LEAR"
"To gorge his appetite, shall to my bosom","LEAR"
"Be as well neighbored, pitied, and relieved","LEAR"
"As thou my sometime daughter.","LEAR"
"  Good my liege--","KENT"
"  Peace, Kent.","LEAR"
"Come not between the dragon and his wrath.","LEAR"
"I loved her most and thought to set my rest","LEAR"
"On her kind nursery.  Hence and avoid","LEAR"
"my sight!--","LEAR"
"So be my grave my peace as here I give","LEAR"
"Her father's heart from her.--Call France. Who stirs?","LEAR"
"Call Burgundy.  Cornwall and","LEAR"
"Albany,","LEAR"
"With my two daughters' dowers digest the third.","LEAR"
"Let pride, which she calls plainness, marry her.","LEAR"
"I do invest you jointly with my power,","LEAR"
"Preeminence, and all the large effects","LEAR"
"That troop with majesty. Ourself by monthly course,","LEAR"
"With reservation of an hundred knights","LEAR"
"By you to be sustained, shall our abode","LEAR"
"Make with you by due turn. Only we shall retain","LEAR"
"The name and all th' addition to a king.","LEAR"
"The sway, revenue, execution of the rest,","LEAR"
"Beloved sons, be yours, which to confirm,","LEAR"
"This coronet part between you.","LEAR"
"  Royal Lear,","KENT"
"Whom I have ever honored as my king,","KENT"
"Loved as my father, as my master followed,","KENT"
"As my great patron thought on in my prayers--","KENT"
"The bow is bent and drawn. Make from the shaft.","LEAR"
"Let it fall rather, though the fork invade","KENT"
"The region of my heart. Be Kent unmannerly","KENT"
"When Lear is mad. What wouldst thou do, old man?","KENT"
"Think'st thou that duty shall have dread to speak","KENT"
"When power to flattery bows? To plainness honor's","KENT"
"bound","KENT"
"When majesty falls to folly. Reserve thy state,","KENT"
"And in thy best consideration check","KENT"
"This hideous rashness. Answer my life my","KENT"
"judgment,","KENT"
"Thy youngest daughter does not love thee least,","KENT"
"Nor are those empty-hearted whose low sounds","KENT"
"Reverb no hollowness.","KENT"
"  Kent, on thy life, no more.","LEAR"
"My life I never held but as a pawn","KENT"
"To wage against thine enemies, nor fear to lose","KENT"
"it,","KENT"
"Thy safety being motive.","KENT"
"  Out of my sight!","LEAR"
"See better, Lear, and let me still remain","KENT"
"The true blank of thine eye.","KENT"
"  Now, by Apollo--","LEAR"
"  Now, by Apollo, king,","KENT"
"Thou swear'st thy gods in vain.","KENT"
"  O vassal! Miscreant!","LEAR"
"  Dear sir, forbear.","ALBANY/CORNWALL"
"Kill thy physician, and thy fee bestow","KENT"
"Upon the foul disease. Revoke thy gift,","KENT"
"Or whilst I can vent clamor from my throat,","KENT"
"I'll tell thee thou dost evil.","KENT"
"Hear me, recreant; on thine allegiance, hear me!","LEAR"
"That thou hast sought to make us break our vows--","LEAR"
"Which we durst never yet--and with strained pride","LEAR"
"To come betwixt our sentence and our power,","LEAR"
"Which nor our nature nor our place can bear,","LEAR"
"Our potency made good, take thy reward:","LEAR"
"Five days we do allot thee for provision","LEAR"
"To shield thee from disasters of the world,","LEAR"
"And on the sixth to turn thy hated back","LEAR"
"Upon our kingdom. If on the tenth day following","LEAR"
"Thy banished trunk be found in our dominions,","LEAR"
"The moment is thy death. Away! By Jupiter,","LEAR"
"This shall not be revoked.","LEAR"
"Fare thee well, king. Sith thus thou wilt appear,","KENT"
"Freedom lives hence, and banishment is here.","KENT"
" The gods to their dear shelter take","KENT"
"thee, maid,","KENT"
"That justly think'st and hast most rightly said.","KENT"
" And your large speeches","KENT"
"may your deeds approve,","KENT"
"That good effects may spring from words of love.--","KENT"
"Thus Kent, O princes, bids you all adieu.","KENT"
"He'll shape his old course in a country new.","KENT"
"Here's France and Burgundy, my noble lord.","GLOUCESTER"
"  My lord of Burgundy,","LEAR"
"We first address toward you, who with this king","LEAR"
"Hath rivaled for our daughter. What in the least","LEAR"
"Will you require in present dower with her,","LEAR"
"Or cease your quest of love?","LEAR"
"  Most royal Majesty,","BURGUNDY"
"I crave no more than hath your Highness offered,","BURGUNDY"
"Nor will you tender less.","BURGUNDY"
"  Right noble Burgundy,","LEAR"
"When she was dear to us, we did hold her so,","LEAR"
"But now her price is fallen. Sir, there she stands.","LEAR"
"If aught within that little seeming substance,","LEAR"
"Or all of it, with our displeasure pieced","LEAR"
"And nothing more, may fitly like your Grace,","LEAR"
"She's there, and she is yours.","LEAR"
"  I know no answer.","BURGUNDY"
"Will you, with those infirmities she owes,","LEAR"
"Unfriended, new-adopted to our hate,","LEAR"
"Dowered with our curse and strangered with our","LEAR"
"oath,","LEAR"
"Take her or leave her?","LEAR"
"  Pardon me, royal sir,","BURGUNDY"
"Election makes not up in such conditions.","BURGUNDY"
"Then leave her, sir, for by the power that made me","LEAR"
"I tell you all her wealth.--For you, great king,","LEAR"
"I would not from your love make such a stray","LEAR"
"To match you where I hate. Therefore beseech you","LEAR"
"T' avert your liking a more worthier way","LEAR"
